document	topic	gamma
0000113006_U1_20120127_RU	1	0.9999059635088356
0000123961_U1_20130110_RU	1	0.9999307656453444
0000126637_U1_20130410_RU	1	0.9998840029256354
0002547047_C2_20150410_RU	1	0.9998938041940606
0002549384_C2_20150427_RU	1	0.9999032206525001
0002572127_C1_20151227_RU	1	0.9998169294624808
0002574695_C2_20160210_RU	1	0.9998201056771587
0000066240_U1_20070910_RU	2	0.9276156241549568
0000087936_U1_20091027_RU	2	0.963752943254459
0000109863_U1_20111027_RU	2	0.9837311411881191
0000120788_U1_20120927_RU	2	0.999930417180581
0000132208_U1_20130910_RU	2	0.9998912992598835
0000133933_U1_20131027_RU	2	0.9998897094416692
0000141521_U1_20140610_RU	2	0.9998950138609286
0000147368_U1_20141110_RU	2	0.8770070063810902
0000154134_U1_20150820_RU	2	0.946658612582423
0002554323_C1_20150627_RU	2	0.9999278133587791
0002586261_C2_20160610_RU	2	0.9999150193399761
0002587695_C1_20160620_RU	2	0.9997942218387073
0002591584_C1_20160720_RU	2	0.9999085551775848
0000123488_U1_20121227_RU	3	0.999705959406747
0000123963_U1_20130110_RU	3	0.9998657993192801
0000132743_U1_20130927_RU	3	0.7243118965843652
0000137825_U1_20140227_RU	3	0.9998944796507943
0000159204_U1_20160210_RU	3	0.9998981088811036
0000165511_U1_20161020_RU	3	0.9624240895306772
0002504765_C2_20140120_RU	3	0.9998716151335727
0002526579_C2_20140827_RU	3	0.8407225397527652
0002527003_C2_20140827_RU	3	0.9996940287445092
0002529781_C2_20140927_RU	3	0.9998547550340953
0002532233_C2_20141027_RU	3	0.999741672429008
0002596243_C1_20160910_RU	3	0.9997992031101788
0000038403_U1_20040610_RU	4	0.9427704117976117
0000038948_U1_20040710_RU	4	0.9908466591195221
0000066479_U1_20070910_RU	4	0.9998638163955984
0000116963_U1_20120610_RU	4	0.9998859173223251
0000125688_U1_20130310_RU	4	0.9998787465451021
0000126120_U1_20130320_RU	4	0.9999069132618579
0000127168_U1_20130420_RU	4	0.9997752665756672
0000136121_U1_20131227_RU	4	0.8773404756735765
0000144066_U1_20140810_RU	4	0.8103318807986539
0000144267_U1_20140820_RU	4	0.9970516226558758
0000156875_U1_20151120_RU	4	0.9996917547418122
0002251049_C2_20050427_RU	4	0.5029200282162619
0002509254_C2_20140310_RU	4	0.9998731853417082
0002529820_C2_20140927_RU	4	0.9999507453512338
0002558724_C2_20150810_RU	4	0.9999395013401468
0002592733_C2_20160727_RU	4	0.7251917753724045
0000081948_U1_20090410_RU	5	0.9527272020774229
0000116796_U1_20120610_RU	5	0.9998370667161577
0000116796_U8_20140627_RU	5	0.9992031988715839
0000123696_U1_20130110_RU	5	0.8247519375092223
0000126839_U1_20130410_RU	5	0.9998408187514123
0002222800_C1_20040127_RU	5	0.9999023088265461
0002251047_C2_20050427_RU	5	0.999804871286554
0002491535_C1_20130827_RU	5	0.9998097930882034
0002519448_C2_20140610_RU	5	0.9998539880352045
0002527902_C2_20140910_RU	5	0.5102219994337118
0002531126_C2_20141020_RU	5	0.9999010266428209
0002572073_C1_20151227_RU	5	0.9999187644343761
0002591873_C1_20160720_RU	5	0.9999193959397652
0002595651_C2_20160827_RU	5	0.9996709689713112
0002596242_C1_20160910_RU	5	0.999917141514259
