"id"	"v_num"	"v_filename"	"v_titleEnhanced_en"	"v_abstractEnhanced_en"	"v_abstractDocumentation_en"
"1"	"1"	"Patent Document 0000474124.zip"	""	""	""
"2"	"2"	"Patent Document 0000738660.zip"	""	""	""
"3"	"3"	"Patent Document 0000806108.zip"	""	""	""
"4"	"4"	"Patent Document 0000825136.zip"	""	""	""
"5"	"5"	"Patent Document 0000905268.zip"	""	""	""
"6"	"6"	"Patent Document 0000973154.zip"	""	""	""
"7"	"7"	"Patent Document 0001181522.zip"	""	""	""
"8"	"8"	"Patent Document 0001397077.zip"	""	""	""
"9"	"9"	"Patent Document 0001490142.zip"	"Starting mixt. for catalytic reforming contains specified petrol fractions, catalysts, and vat residues of ionone prodn. as polymerisation inhibitor START MIXTURE CATALYST REFORM CONTAIN SPECIFIED GASOLINE FRACTION VAT RESIDUE IONONE PRODUCE POLYMERISE INHIBIT"	"Use of (pref.) vat residues of ionone production (I) as the polymerisation inhibitor in the starting mixt. for catalytic reforming, increases the efficiency of the process. Petrol fractions from thermal cracking, pyrolysis, etc. as used as the crude, and Al-Co-Mo or Al-Ni-Mo catalysts as hydrogenation catalyst. The inhibitor (I) is used in amts. of 0.001-0.004 wt.%, and the process is carried out in a H2-contg. atmos. at 320-340 deg. under the pressure of 3-3.5 MPa at vol. rate of 2-3/hour. ADVANTAGE Simpler process. Bul.24/30.6.89 @(6pp Dwg.No. 0/0)"	""
"10"	"10"	"Patent Document 0001512115.zip"	""	""	""
"11"	"11"	"Patent Document 0001549986.zip"	"Purificn. of cracked petrol involves mixing it with diesel fuel or vacuum gas:oil and additional light gas:oil and catalytic hydro-desulphurisation PURIFICATION CRACK GASOLINE MIX DIESEL FUEL VACUUM GAS OIL ADD LIGHT CATALYST HYDRO DESULPHURISE"	"Addn. of 5-15 wt.% of light gas oil (I) boiling at 170-360 deg. and obtd. by catalytic cracking or retarded coking, to the cracked petrol in the course of its purificn., increases the efficiency of the process. The starting material is mixed with diesel fuel or vacuum gas oil and (I), and subjected to catalytic hydrodesulphurisation. ADVANTAGE Addn. of (I) reduces the coking of the catalyst. Bul.10/15.3.90"	""
